Date,Profile impressions,Shares,Engagement,Profile visits,Profile reach,Reel shares,New followers,RowHash
12/01/2025,16258,0,13,0,13742,0,,889b17e0485fbd2d4ee502fdfbdaa80af9a54fa9f1be0f9f7f7df8fa66f7adad
11/01/2025,12562,0,34,3,9926,0,,d5921cddbd9959dd232ef752c8c01b68f3149f0b781e6e79b08b517ad9578c53
10/01/2025,13603,0,43,0,11545,0,,6215d73fe5fa3dc780a10bcc9570e31a2a74498006916bf0ddd67ae50fab1f29
09/01/2025,14426,1,31,0,11615,1,,1e416f4c251ca84999bf69da3228f1b464fa4c0d10aae7c600150e541626a4b7
08/01/2025,14363,0,50,0,11565,0,,914ef2c4c2ea1c015d5d07b83e9c83ae72d739bf912434ab963574c21524d99c
07/01/2025,17093,0,250,0,13797,0,,442d43edd7040fb5d9b32723e48c46a067c601ea7379b46e5b205b7fb9375fe2
06/01/2025,12190,0,101,0,9986,0,,0298f3007f3b862bfed974cc97621a9162194cd6918d8cb79703b5df666d0595
05/01/2025,10409,1,462,0,8898,1,,8cfb791783686494d09b789ecc3604507202cddd8655d675e199fa51e7bcf886
04/01/2025,1188,0,0,0,1010,0,,120a9b481833b8a1650d9af39d263e23e43389138daaf6f4d46c4b3e48eb9c3f
03/01/2025,1036,0,0,0,928,0,,bdf5a83a862b7555e58a247f36efe4a70e06dd74422f588d6078e9e646529a10
02/01/2025,1442,0,0,0,889,0,,41ec5cded5816254cd23b30ba9ccd61d24489f193ebdd90bf16bbb4e1e5e2ed7
01/01/2025,1319,0,0,0,1059,0,,b0659ef2e5950d7cd084a514d8ba2dda217c017fcb2f0e475634faee03a49bfc
31/12/2024,817,0,0,0,653,0,,5a9ee8de4d7432ccdbe0dfa7895412f552c59dec37663733bfb2632d6be39bbd
30/12/2024,1036,0,0,0,841,0,,f643021d64b410ca7f99ac1d545f1fa561ea0fd386ca028e6071b30f69a3aa17
29/12/2024,1151,0,0,0,929,0,,9ddc14b7006d0500d931455351030ecc5c24cccae04854047873fb950826daa3
28/12/2024,1097,0,0,0,867,0,,709a17dd19d3eaf21a8af211e966f8a4240fc3f0df3ee7fdcc3c5d0e504edcea
27/12/2024,1170,0,0,0,904,0,,e6a7570c8d3726cc1f9b891db0e66b5efb39ce0f6251ed5e92f056ca1d8752a4
26/12/2024,1185,0,0,0,898,0,,9201fd6abb1886c59e8ab4fb74851168161e8210408b1b42490709d71d191042
25/12/2024,983,0,0,0,803,0,,7de4d6efa9706cca5be1900a6fbffd676a557e9b77ad606d30213004e625ee77
24/12/2024,1014,0,0,0,849,0,,a78e7ba4b53e59c5faf079fad35791c7c6d13721ec5829880a4f655dbccea634
23/12/2024,2250,0,0,0,1782,0,,9342bb8766460537a7ca3e37b6f1904f21f2a0b691e60aa39e5ae8d796dddfc7
22/12/2024,5404,54,543,0,4902,54,,95972a218655767f1999ee150e80801366dcc3887cd84f1fe9a2d6d4cb14cb49
21/12/2024,1105,0,0,0,849,0,,7250785d971469771e80c035b677ad7d2615ebff3ec6d2da90ac7caa605068dc
20/12/2024,760,0,0,0,543,0,,af2eeb33b0459c2256fbefb6eb9f4187d3b765a6615dd4c3552cc236d32ce8d7
19/12/2024,657,0,0,0,556,0,,c5f5f5a5d647b033d4020277cbaa54e302ea176a5d250e02fe0b76f4c517c82f
18/12/2024,1833,0,0,0,1707,0,,cc7198a2938ecabb887f5a6b3451a4e62a310acbbbd0f91f193963e72e5bdab5
17/12/2024,587,0,0,0,516,0,,305114004deb3af999520a429e473f9b554da63c0071869ac6c50321004b9b44
16/12/2024,322,0,0,0,238,0,,45818599f04700ae9b792a224ccfa366ccc4cb1c5172abd554244636ffce1cc5
15/12/2024,328,0,0,0,231,0,,99c80b7cd27953c9ab3e5e98761c5d21fe0ac742246f28c2ee6ebe1b482b67ef
14/12/2024,433,0,0,0,330,0,,7b87c86f29a50e672e62204a340d1f56e5e537dc670efb88b37a9b3f4b1025fa
